epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.609,2.06638,3.67874,2.2517,0.00231,0.92308,0.12829,0.03559,2.42563,5.83007,2.91114,0.00040008,0.00040008,0.00040008
2,458.472,2.11235,3.28467,2.14932,0.00276,0.74038,0.07072,0.01953,2.53791,5.50563,2.9056,0.000762919,0.000762919,0.000762919
3,689.33,2.08477,3.01384,2.0853,0.62136,0.13462,0.09184,0.02648,2.72231,5.51614,3.25763,0.00107075,0.00107075,0.00107075
4,858.103,2.11416,3.2203,2.16163,0.71212,0.15597,0.16437,0.04363,2.50642,4.99468,2.67816,0.00132356,0.00132356,0.00132356
5,1019.72,2.10309,2.98991,2.10862,0.63142,0.32692,0.19999,0.07993,2.42378,4.5037,2.76646,0.00122691,0.00122691,0.00122691
6,1213.73,2.15074,3.69915,2.24392,0.63232,0.21154,0.16579,0.03029,2.75683,4.77385,2.9377,0.00111689,0.00111689,0.00111689
7,1403.62,2.00156,3.52082,2.17886,0.74353,0.34615,0.27016,0.08446,2.39372,6.12004,2.73391,0.00100687,0.00100687,0.00100687
8,1567.46,2.07083,3.32079,2.23568,0.69562,0.25,0.26205,0.07458,2.69328,5.62217,2.86548,0.000896846,0.000896846,0.000896846
9,1739.59,2.15166,3.17367,2.25791,0.62438,0.25,0.19999,0.07956,2.48745,4.91793,2.56278,0.000786824,0.000786824,0.000786824
10,1988.98,2.00035,2.95228,2.15559,0.83765,0.32692,0.35211,0.13183,2.45145,3.53625,2.57896,0.000676802,0.000676802,0.000676802
11,2260.48,2.03134,2.86084,2.15235,0.86473,0.31123,0.38694,0.12939,2.37945,3.26529,2.44077,0.00056678,0.00056678,0.00056678
12,2562.36,2.03228,2.77255,2.08834,0.8797,0.30366,0.44367,0.13692,2.58965,3.32587,2.47274,0.000456758,0.000456758,0.000456758
